CustomerID,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Payment_Method,Tech_Support_Tickets,Internet_Service_Type,Paperless_Billing,Churn_Status
CUST-00001,10,Month-to-month,75.49,765.03,Mailed check,2,Fiber optic,No,Yes
CUST-00002,25,One year,23.26,592.11,Bank transfer (automatic),0,No,Yes,No
CUST-00003,1,Month-to-month,23.19,23.59,Credit card (automatic),2,No,Yes,Yes
CUST-00004,5,Two year,20.44,101.61,Credit card (automatic),0,No,No,No
CUST-00005,39,Two year,109.28,4174.48,Bank transfer (automatic),3,Fiber optic,No,No
CUST-00006,13,Two year,65.51,836.70,Electronic check,1,DSL,Yes,No
CUST-00007,13,Two year,57.6,768.30,Electronic check,5,DSL,No,Yes
CUST-00008,52,Two year,92.71,4699.48,Electronic check,2,Fiber optic,Yes,No
CUST-00009,21,One year,82.08,1710.74,Bank transfer (automatic),1,Fiber optic,Yes,No
CUST-00010,7,Month-to-month,22.29,157.20,Bank transfer (automatic),3,No,No,Yes
CUST-00011,9,Month-to-month,60.77,536.23,Bank transfer (automatic),3,DSL,Yes,No
CUST-00012,4,Two year,115.99,453.89,Credit card (automatic),2,Fiber optic,Yes,No
CUST-00013,12,One year,94.83,1146.06,Bank transfer (automatic),2,Fiber optic,Yes,Yes
CUST-00014,37,Two year,24.08,910.86,Credit card (automatic),1,No,No,No
CUST-00015,53,One year,99.94,5430.35,Mailed check,3,Fiber optic,Yes,No
CUST-00016,32,One year,50.7,1640.37,Bank transfer (automatic),2,DSL,No,No
CUST-00017,54,One year,44.3,2423.08,Credit card (automatic),1,DSL,Yes,No
CUST-00018,36,Month-to-month,23.51,868.62,Bank transfer (automatic),2,No,Yes,No
CUST-00019,7,Month-to-month,71.71,498.62,Bank transfer (automatic),0,DSL,Yes,Yes
CUST-00020,9,Month-to-month,112.65,1042.72,Electronic check,1,Fiber optic,No,No
CUST-00021,39,Two year,103.33,3982.81,Bank transfer (automatic),1,Fiber optic,No,No
CUST-00022,13,Two year,91.17,1175.50,Electronic check,3,Fiber optic,No,No
CUST-00023,29,Month-to-month,94.01,2768.89,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00024,4,One year,23.95,97.04,Mailed check,0,No,Yes,No
CUST-00025,38,One year,48.98,1846.77,Electronic check,3,DSL,Yes,Yes
CUST-00026,6,Month-to-month,92.07,537.44,Credit card (automatic),3,Fiber optic,Yes,Yes
CUST-00027,54,Two year,44.46,2420.20,Bank transfer (automatic),3,DSL,No,No
CUST-00028,24,One year,75.13,1814.26,Credit card (automatic),0,Fiber optic,No,Yes
CUST-00029,1,Month-to-month,50.9,52.07,Credit card (automatic),2,DSL,Yes,No
CUST-00030,20,Two year,22.98,454.05,Bank transfer (automatic),3,No,Yes,No
CUST-00031,20,Two year,75.99,1557.36,Bank transfer (automatic),6,DSL,Yes,Yes
CUST-00032,11,Month-to-month,55.78,616.26,Credit card (automatic),1,DSL,Yes,No
CUST-00033,33,Month-to-month,94.39,3061.92,Bank transfer (automatic),0,Fiber optic,Yes,No
CUST-00034,18,Two year,97.81,1749.24,Electronic check,1,Fiber optic,Yes,No
CUST-00035,21,Two year,83.87,1729.70,Electronic check,2,Fiber optic,Yes,No
CUST-00036,49,One year,67.61,3305.15,Mailed check,2,DSL,Yes,No
CUST-00037,9,Month-to-month,50.23,451.33,Electronic check,2,DSL,Yes,Yes
CUST-00038,39,Two year,79.23,3144.25,Mailed check,4,Fiber optic,Yes,Yes
CUST-00039,46,Month-to-month,49.99,2333.05,Electronic check,1,DSL,Yes,No
CUST-00040,12,Month-to-month,59.95,722.94,Credit card (automatic),3,DSL,No,No
CUST-00041,8,Month-to-month,82.2,659.45,Credit card (automatic),2,Fiber optic,Yes,No
CUST-00042,52,One year,58.27,3064.58,Electronic check,1,DSL,Yes,No
CUST-00043,3,Month-to-month,88.37,259.51,Electronic check,2,Fiber optic,Yes,Yes
CUST-00044,9,Month-to-month,110.51,999.72,Bank transfer (automatic),2,Fiber optic,Yes,No
CUST-00045,58,One year,19.89,1182.02,Electronic check,3,No,Yes,No
CUST-00046,45,Month-to-month,53.64,2385.68,Electronic check,4,DSL,Yes,Yes
CUST-00047,1,Month-to-month,116.43,113.10,Credit card (automatic),1,Fiber optic,No,No
CUST-00048,6,Month-to-month,81.93,476.96,Electronic check,0,Fiber optic,Yes,No
CUST-00049,7,Month-to-month,24.23,164.85,Bank transfer (automatic),1,No,Yes,Yes
CUST-00050,21,Two year,76.9,1638.76,Electronic check,1,Fiber optic,Yes,No
CUST-00051,12,Month-to-month,63.86,783.13,Electronic check,0,DSL,Yes,No
CUST-00052,25,Two year,45.85,1112.11,Bank transfer (automatic),1,DSL,Yes,No
CUST-00053,19,One year,89.99,1729.68,Electronic check,2,Fiber optic,No,No
CUST-00054,2,Two year,116.59,230.40,Electronic check,1,Fiber optic,No,No
CUST-00055,55,Two year,101.33,5536.44,Bank transfer (automatic),3,Fiber optic,No,No
CUST-00056,41,Two year,19.81,832.81,Bank transfer (automatic),0,No,Yes,No
CUST-00057,64,One year,109.43,7082.11,Mailed check,3,Fiber optic,No,Yes
